Country,Region,pf_score,crime_cases
Albania,Eastern Europe,7.81,9.85
Albania,Eastern Europe,7.86,9.85
Albania,Eastern Europe,7.57,9.77
Albania,Eastern Europe,7.4,9.82
Albania,Eastern Europe,7.64,9.7
Albania,Eastern Europe,7.49,9.7
Albania,Eastern Europe,7.62,9.63
Albania,Eastern Europe,7.74,9.68
Albania,Eastern Europe,8.09,9.72
Albania,Eastern Europe,8.16,9.82
Albania,Eastern Europe,8.13,9.8
Algeria,Middle East & North Africa,5.42,9.0
Algeria,Middle East & North Africa,5.08,8.97
Algeria,Middle East & North Africa,5.33,8.95
Algeria,Middle East & North Africa,5.2,8.88
Algeria,Middle East & North Africa,5.16,8.0
Algeria,Middle East & North Africa,5.16,7.85
Algeria,Middle East & North Africa,5.15,7.7
Algeria,Middle East & North Africa,5.25,7.82
Algeria,Middle East & North Africa,5.47,8.38
Algeria,Middle East & North Africa,5.41,7.82
Algeria,Middle East & North Africa,5.43,7.87
Angola,Sub-Saharan Africa,6.21,9.27
Angola,Sub-Saharan Africa,5.91,8.73
Angola,Sub-Saharan Africa,6.3,9.27
Angola,Sub-Saharan Africa,5.9,8.43
Angola,Sub-Saharan Africa,5.77,8.43
Angola,Sub-Saharan Africa,5.66,8.43
Angola,Sub-Saharan Africa,5.57,8.43
Angola,Sub-Saharan Africa,5.71,8.47
Angola,Sub-Saharan Africa,5.88,9.27
Angola,Sub-Saharan Africa,5.88,8.4
Angola,Sub-Saharan Africa,5.8,8.47
Argentina,Latin America & the Caribbean,8.32,8.4
Argentina,Latin America & the Caribbean,8.34,8.42
Argentina,Latin America & the Caribbean,8.35,9.18
Argentina,Latin America & the Caribbean,8.27,9.15
Argentina,Latin America & the Caribbean,8.17,9.08
Argentina,Latin America & the Caribbean,8.17,9.08
Argentina,Latin America & the Caribbean,8.16,9.08
Argentina,Latin America & the Caribbean,8.16,9.08
Argentina,Latin America & the Caribbean,8.17,9.08
Argentina,Latin America & the Caribbean,8.16,9.08
Argentina,Latin America & the Caribbean,8.18,9.08
Armenia,Caucasus & Central Asia,7.45,9.47
Armenia,Caucasus & Central Asia,7.34,9.42
Armenia,Caucasus & Central Asia,7.38,9.25
Armenia,Caucasus & Central Asia,7.16,9.4
Armenia,Caucasus & Central Asia,7.2,9.42
Armenia,Caucasus & Central Asia,7.37,9.42
Armenia,Caucasus & Central Asia,7.33,9.43
Armenia,Caucasus & Central Asia,7.41,9.42
Armenia,Caucasus & Central Asia,7.29,9.45
Armenia,Caucasus & Central Asia,7.24,9.35
Australia,Oceania,9.12,9.93
Australia,Oceania,9.13,9.9
Australia,Oceania,9.1,9.93
Australia,Oceania,9.13,9.93
Australia,Oceania,9.26,9.9
Australia,Oceania,9.19,9.93
Australia,Oceania,9.21,9.93
Australia,Oceania,9.24,9.93
Australia,Oceania,9.25,9.93
Australia,Oceania,9.25,9.92
Australia,Oceania,9.25,9.92
Austria,Western Europe,9.09,9.93
Austria,Western Europe,9.12,9.93
Austria,Western Europe,9.15,9.95
Austria,Western Europe,9.28,9.97
Austria,Western Europe,9.3,9.95
Austria,Western Europe,9.24,9.95
Austria,Western Europe,9.22,9.93
Austria,Western Europe,9.11,9.93
Austria,Western Europe,9.1,9.95
Austria,Western Europe,9.11,9.93
Austria,Western Europe,9.11,9.95
Azerbaijan,Caucasus & Central Asia,6.21,9.43
